COLUMN,data_type,max,min,name_type,nb_categories,val_range
SRQ23_2,text, , ,text,,"help me walking, buying stuff occasionally, she can't walk, accompany, accompanying him, الحركة, ﻻ يحتاج للمساعدة  , accompany/shopping, شراء الدواء والأغراض , التحرك/التسوق, buying stuff, حمل اﻻغاض, لا يحتاج مساعدة, help him in the shop, walks alone but get tired, no need, no, walking, المشتريات, التسوق وشراء اﻻدوية, مساعدة في المشي, السواقه, المشي, transportations, accounting of his store, buy necessary stuff, buy things, ﻻ يحتاج, التسوق, كل انواع المساعدة, help her to sit in the car, احيانا يحتاج لمن يساعده في المشي, take him to the doctor, nothing, ﻻ يحتاج الكثير ما المساعدة , accompany on the road, لا يحتاج مساعدة الا في بعض الوقات حيث يحتاج توصيلة الى مكان بعيد, لا شيء, جلب الاغراض, take her to see her children, everything, accompanying her, help in walking, accompany her to the doctor, التنقل و التسوق, التسوق شراء الدواء , cannot walk, المساعده الجسديه, hold her while walking, hold her stuff, التنقل, كل شيء, buying medicine, ﻻيحتاج, 0, driving, buying things, لا تحتاج إلى مساعده, supervision on behaviour, التسوق احيانا, كل المساعده, while walking, taking care of him, المساعدة على الحركة/جلب الدواء, going to the doctor or shopping, التسوق من خارج المنطقه, التسوق   اغراضها, shopping, buying things and medicine, لا يوجد, none, التسوق وجلب الدواء , agriculture, لاشيء, لا يحتاج للمساعدة, لا يخرج, escorting her, كل شي, شراء الحاجيات من السوق, accompany to the doctor, i take her anywhere, her husband, buying meds, الاعمال المنزلية وتناول الادوية, watching him, المساعدة في التنقل, شراء الدواء, المساعده  في المشي, النقل, لا يحتاج مساعد , 97, rarely goes out/sits on a chair waiting the car, take her to visit a relative or to the doctor, buying stuff and housekeeping, لا يحتاج, المساعده  في المشي , يحتاج الى المساندة عندما يمشي, escorting, take her a ride in the car to buy stuff, إحضار الادويه التسوق, buying medication, buying medicine and going to the doctor, التنقل بالسياره, صعوبه في المشي لفتره طويله, حاليا كل شئ بسبب الكسر, الذهاب إلى المشفى, إحضار الأغراض بسبب بعد المنزل عن البقالة, تصليح الأعطال   وقسم من  التسوق"
SRQ24_2,text, , ,text,,"no one, نحن ابناءها, ااتتنقل, neighbours, his wife, الاولاد, الاخ و زوجته و اولاده, البنات, sister, االاخت, البنت, her daughter,my husband and me, his wife and me, husband, husband-children, her daughter, her sons, ابنه الابن, daughter, me, الابن وانا, daughter in law, الابنه, الزوجه   ولابنه, الأبناء والاحفار, no need, no, الزوج, الكنه, اﻻخت, husband/daughter-in-law, the daughter, friend, انا, hanine and her kids, his wife and the maid, my siblings and I, her daughter comes if she's sick, الابن و زوجته, االالن, her son and I, his wife and his daughter, nephew, nothing, الكنز , maid, her son, only me, لا احد, اﻷوﻵد, الزوجه, جميع الابناء, the maid and I, الاخت, الابن والكنه, الجميع, the daughter and me, تقريبا كل افراد العائلة, me and my brother, my wife and I, الابنتان, we take care of each other, his daughter in law, take care of himself, wife and children, الابناء  واىزوجه, الزوجه وااكنه, انا واختي, my mother, me and my children, الابن, her sister, الابن و الزوج, wife-son, my seblings, son-daughter, المواصلات, الزوجة فقط, wife, الابنه والخادمه, made, الغاملة المنزلية, the husband, لا يحتاج مساعة, الابن و الكنة, his children, 0, the wife, البنت الزوج, one of my seblings and me, الابنة, brother-sister in law, my husband and I, الكنه والابن, sibling, son, if sick, daughter visits her frequently, brother, his wife when he is sick, her son only, العاءله, المخبر, children, wife and other relatives, wife-children, his wife and his son, none, الابن والابنة, الابناء, بنت الأخ , her granddaughter, her son, husband and kids, her sister samia takes care of her if she's sick, his wife, siblings and me, البنة, her husband, her daughter in law, her daughter, ابنة الاخ, زوجته, husband-son, الخادمه, the daughter and the son, all can help when needed, mother,me, انا واخواتي, لا أحد, her niece, daughters, husband and son, ahmad and I, 97, اﻻبنة, me,kids, younger brother and his wife, nobody, أولاده, الزوجة, husband/children when needed, الحفار والابناء, him and his family, sometimes her daughter, العاملة المنزلية, الاخ, daughter and helper, I, the maid, her son and her daughter in law, the son"
SRQ25_2,text, , ,text,,"financially/shopping, no one, كل المساعدع, prepare food and bring her stuff, treatment, financial support, agriculture and housekeeping, stay with her, الماديه, financial, accompany, house tasks, no help, لا اقدم اي مساعدة, house chores, cooking and buying things, food, meds, preparing his things, تناول الدواء , anything that she needs, توصيلة او اصلاح معدات في المنزل, كل المساعدة المطلوبة, house chores and preparing food, if she needs anything, buying stuff, anything, house duties, تحضير الطعام , prepare food and take care of him, الجسديه, helping in housekeeping, preparing stuff, no need, no, prepare food, المساعره في تحضير الطعام, لا أقدم مساعده  لأني مريضه سرطان , مساعدته على الوقوف والمشي, الأعمال في اامزل, the children, العمل المنزلي بالاضافه إلى جلب الاغراض, مساعدة في المشي, financially, preparing stuff and take care of him, movement from one room to another, preparing stuff and food, preparing food and give her medication, شغل الييت, مساعدة في اﻻعمال المنزلية, لى شيء, washing her/preparing food/giving medications, buying stuff, especially if no electricity, تحضير الطعام, prepare his clothes, anything he needs, giving meds, buy things, preparing and buying his stuff, sit with her, التسوق وشراء الدواء , احيانا جلب أغراض من الخارج, preparing food/shopping, مساعدة في التسوق, financial and moral support, التسوق, كل انواع المساعدة, organizing his stuff, في المشي   واللبس, تساعدها في عمل المنزل, transportation, شراء بعض الاغراض, if he needs anything, buy her meds if sick, food,cleaning the house, giving her medication, anything she asks for, check on her, help her walking, food, nothing, التسوق و ترتيب الننزل, housekeeping and preparing food, shopping/cooking, giving money, help him in the shop and at home, لا شيء, prepares his stuff, bath, preparing food and house chores, لا احد, giving her medicine and house chores, preparing stuff and take care when he is sick, house chores and cooking, اﻻعمال المزلية, everything, taking care of her, المساعدة على الحركة, كل الأشياء الضروريه, الاهتمام بالمسن, كل شئ, cooking/medications, preparing food, giving meds, usually serves herself, helping, preparing food or juice, and house-keeping, preparing food and housecleaning, buys her stuff, any, لا مساعدة, take him out, getting stuff, المساعدة في اﻻعمال المنزلية, preparing food, taking care of her and preparing food, المساعده في الأعمال النزليه, guidance, ااماديه, كل شيء, ساعدها في الأعمال المنزل , give her meds, prepare food, 0, routine tasks, buying things, المساعده الماديه, الاهتمام بالمشترك, buy stuff, cooking-cleaning-buying things, شراء الأدوية أو أغراض من البقالة, preparing food-house chores, كل المساعده, housekeeping and shopping, cooking,clothing, check on us, giving medications/preparing food, لا اقدم مساعدة, الماديه والجسدية  , taking care of him, prepare clothes, food, stuff, guest reception, تقديم الطعام, medications/buying things/fixing the house, buying things/preparing his stuff, cooking, shopping, give him money, meds, stuff, ماليه, لا تحتاج  إلي مساعده, everything he needs, none, preparing food and clothing, لاشيء, accompany her, الاعمال المنزلية وتهتم بنظافته ودخوله الحمام, preparing food and shopping, cleaning, العمل المنزلي وتناول الادوية, الاهتمام بصحه المشترك, كل شي, لا حاجة للمساعدة, buying things-prepare food, house cleaning, preparing food and housekeeping, المساعده في الاهتمام في المريض من كل النواحي , كل المساعده تقريبا, at home, buying stuff and housekeeping, if needed, giving him money, الجسديه والماديه, shopping,cleaning, شراء الدواء   التسوف, prepare the food, preparing food and buying stuff, clothing and cooking, تصليح الاعطال, مساعده ماديه, help him with all tasks, لا ينطبق, تنظيف المنزل, كل المساعدات المطلوبة, cooking-house chores, house chores and buying things, shopping if asked, العمل في المنزل, just sitting with him, providing basic needs, الماديه والجسديه, preparing his stuff, اﻻعمال المنزلية, help the maid, إعطاء الدوا, work at home, الأعمال المنزليه, كلما سبق, buying things, financial, cooking/visit her, bathing, cleaning the house, buys things/give him his medications, little help, prepare food/fix the house, taking care of the house/giving medications, when he is sick, الدعم النفسي, تحضير الطعام ترتيب المنزل, shopping-preparing food, كل شي , sit with her- buy stuff, domestic tasks, 97, تساعدها في اﻻستحمام وارتداء المﻻبس, الأعمال القاسيه جدا, cooking-bathing-dressing-watching, nobody, taking care, اﻻعمال المنزلية  المساعدة في تناول اﻻدوية, get her stuff from supermarket + help her, housekeeping, take care of her and the house, المساعده في الأعمال المنزليه, housekeeping, shopping, ﻻ مساعدة, buying medication, buying stuff from the market, giving her medicine, الاعمال المنزلية, buying medicine and things, financially/buys things, إحضار أغراض أو صيانة أعطال في المنزل, المساعده الماديه  والجسديه, check on them"
SRQ26_2,text, , ,text,,"yes financially, cooking and financial aid, القليل, لا, 0, moral support, الاولاد, nothing, financial support, اكيد, yes, house chores and food, قليل, كلا نعم, نعم احيانا, كاا, لا احد, daughter, كﻻ, اكي,, don't need help, but yes, نعم, no need, احيانا, no, 97, sometimes, nobody, none, financially, نعك, كلا , a little, كلا, اجل, كلت, نهم, عندما يكون بحاجة للمساعدة, نعم "
SRQ27_2,text, , ,text,,"no one, his wife, العاملة, my siblings, the brother, his son, البنات, sister, husband, الاج, daughter, daughter in law, الابنه, ابنه الأخت , my daughter, no need, no, الكنه, the daughter, the children, her first son, إلا بنه, her brother, his wife or one of his siblings, my siblings and I, كلت, نعم زوجته, نعم , لل, الأبناء , ابن الابن, nothing, اﻻبن, maid, نعم الاخوه, نعم ابي, her son, yes, اختي, الاخت, الاخوات, sometimes, الكل يساعد , ﻻ يوجد, my sister, yes, wife, eldest daughter, احيانا اخواتي, كﻵ, my mother, االابن التاني, الابن, my seblings, wife, أخوتي, his children, 0, son, كاا, brother, نعم, my siblings and me, children, نعم   الابنه, لا يوجد, نعم بنت الاخت, none, mother, her granddaughter, الابناء, كلا, her husband, ابنك, her daughter in law, her daughter, لا, ﻻ, أحيانا, the daughter and the son, maid/children, االبنات, my seblings and I, daughters, كﻻ, الابناء والبنات, 97, الاخوه, nobody, الزوجة, العاملة المنزلية, الاخ, the maid, اولاد الابناء, yes, my mother (her sister)"
SRQ28_2,text, , ,text,,"no one, they visit, don't existe, daily visit her, لا, 0, her friend pass every day, we spend time together everyday, buying things, neighbor, ﻻ, nothing, yes, ﻻ احد, visit her constantly, her neighbour helps her, كﻻ, نعم, no need, احيانا, no, 97, friends, sometimes, في بعض الأحيان, ﻻ يحتاج مساعدتهم, he spends time with them everyday, نعم يقدمون, nobody, none, القليل من المساعه0, كﻵ, she has friends but they don't visit oftenly, visit her, they just visit her, 1, كلا, كلت, ابدا, نعم "
CARENEED_2,categorical,3.0,1.0,select_one CARENEED_2,3.0,"needs care most of the time,needs care sometimes,does not need care "
CAREWHO1_2,categorical,4.0,1.0,select_one CAREWHO1_2,4.0,"direct caregiver,organizational caregiver,some involvment in direct or organizational care,not involved in care provision "
CAREWHO2_2,categorical,3.0,1.0,select_one CAREWHO2_2,3.0,"family member(s),neighbor(s) or friend(s),paid helper(s)"
CUTBACK_2,categorical,99.0,0.0,select_one CUTBACK_2,5.0,"yes, gave up work,yes, decreased work hours,no,not working ,not applicable "
CUTWHEN_2,integer,36.0,12.0,integer,,12.0-36.0
CUTHOUR_2,integer,60.0,4.0,integer,,4.0-60.0
CAREHELP_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
HRHELP_2,categorical,1.0,1.0,select_one HRHELP_2,4.0,"4 to 7 hours ,8 to 12 hours,13 to 16 hours ,don’t know "
ZB1_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB2_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB3_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB4_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB5_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB6_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB7_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB8_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB9_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB10_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB11_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB12_2,categorical,3.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB13_2,categorical,2.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB14_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB15_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB16_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB17_2,categorical,3.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB18_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB19_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB20_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB21_2,categorical,4.0,0.0,select_one ZB,5.0,"never,rarely,sometimes,repetitively,almost always"
ZB22_2,categorical,2.0,0.0,select_one ZB22_2,5.0,"not at all,a little ,to some extent,frequently ,very much"
ACTIV_2,categorical,99.0,0.0,select_one ACTIV_2,3.0,"don’t know ,no change,change in physical activity (decrease)"
MENTAL_2,categorical,1.0,0.0,select_one MENTAL_2,3.0,"don’t know ,no change,general deterioration"
MEMORY_2,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
PUT_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
KEPT_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
FRDNAME_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
FAMNAME_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
CONVERS_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
WORDFIND_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
WORDWRG_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
PAST_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
LASTSEE_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
LASTDAY_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
ORIENT_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
LOSTOUT_2,categorical,99.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
LOSTIN_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
CHORES_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
CHOREDIS_2,categorical,1.0,0.0,select_one CHOREDIS_2,2.0,"no, not because of a physical disability,yes, due to a physical disability"
HOBBY_2,categorical,99.0,0.0,select_one yes_no_dk2,3.0,"no,yes,don’t know "
MONEY_2,categorical,99.0,0.0,select_one MONEY_2,4.0,"some difficulty ,don’t know ,no difficulty ,cannot deal with money"
CHANGE_2,categorical,2.0,0.0,select_one yes_2,4.0,"yes, sometimes,don’t know ,no ,yes, regularly"
REASON_2,categorical,99.0,0.0,select_one yes_no_dk2,3.0,"no,yes,don’t know "
FEED_2,categorical,3.0,0.0,select_one FEED_2,5.0,"don’t know ,eats neatly using the utensils ,makes a mess while eating using a spouse only,eats simple food like crakers ,needs to be fed "
FEEDDIS_2,categorical,1.0,0.0,select_one FEEDIS_2,2.0,"no, not because of a physical disability,yes, due to a physical disability"
DRESS_2,categorical,3.0,0.0,select_one DRESS_2,5.0,"don’t know ,wears clothes on his/her own,sometimes buttons clothes in a wrong way,error in the sequence, usually forgets things,not able of wearing own clothes"
DRESSDIS_2,categorical,1.0,0.0,select_one DRESSDIS_2,2.0,"no, not because of a physical disability,yes, due to a physical disability"
TOILET_2,categorical,3.0,0.0,select_one TOILET_2,5.0,"don’t know ,no problems,sometimes wets bed,frequently wets bed,unable to control when the elderly needs to go (urine/ stools)"
TOILDIS_2,categorical,1.0,0.0,select_one TOILDIS_2,2.0,"no, not because of a physical disability,yes, due to a physical disability"
MISTAKE_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
MUDDLED_2,categorical,99.0,0.0,select_one yes_no_dk2,3.0,"no,yes,don’t know "
ENDIF_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
CLOUDING,boolean,99.0,0.0,select_one yes_no,2.0,"no,yes"
CONFNITE,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
CONFDAY,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
NOCTURN,categorical,1.0,0.0,select_one nocturn,2.0,"At dusk,At night"
NPI1,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI1SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI1DIS,categorical,3.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI2,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI2SEV,categorical,3.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI2DIS,categorical,1.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI3,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI3SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI3DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI4,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI4SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI4DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI5,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI5SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI5DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI6,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI6SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI6DIS,categorical,3.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI7,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI7SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI7DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI8,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI8SEV,categorical,2.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI8DIS,categorical,3.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI9,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI9SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI9DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI10,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI10SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI10DIS,categorical,3.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI11,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI11SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI11DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPI12,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPI12SEV,categorical,99.0,0.0,select_one affect_E,4.0,"Mild (noticeable, but not a significant change),Moderate (significant, but not a dramatic change,Severe (very marked or prominent; a dramatic change),Don't Know"
NPI12DIS,categorical,4.0,0.0,select_one distress_C,6.0,"Not distressing at all,Minimal (Slightly distressing, not a problem to cope with),Mild (not very distressing, generally easy to cope with),Moderate (fairly distressing, not always easy to cope with),Severe (very distressing, difficult to cope with),Extreme or very severe (extremely distressing, unable to cope with)"
NPIHELP,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPITIME,integer,30.0,1.0,integer,,1.0-30.0
NPIADV,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPIAHLP,categorical,2.0,0.0,select_one help,3.0,"Did not help at all,Helped a little,Helped a lot"
NPIMED,categorical,98.0,0.0,select_one yes_no_dk,3.0,"no,yes,don’t know "
NPIMHLP,categorical,2.0,0.0,select_one help,3.0,"Did not help at all,Helped a little,Helped a lot"
HASCONF_2,categorical,4.0,0.0,select_one HASCONF_2,5.0,"logical answers,little doughts ,some level of doughts,a lot of doughts,useless information "
dem1066,not found, , ,not found,,"0, 1,  "
