COLUMN,data_type,description,frequencies,perc_missing,erroneous,perc_erroneous,cut_off,outliers_zscore,outliers_iqr
HASCONF_2,ordinal,overall rating of confidence in data,", 0.0: 0.5966796875%%, 3.0: 0.0029296875%%, 2.0: 0.015625%%, 1.0: 0.0302734375%%, 4.0: 0.0009765625%%",35.3515625,,0.0,4.0,1.953125,1.953125
Q82_2,categorical,the participant says/points our that he/she doesn't know,", 0.0: 0.673828125%%, 8.0: 0.0009765625%%, 9.0: 0.0029296875%%, 1.0: 0.0087890625%%",31.34765625,"8,9",0.7393715341959335,3.0,,
Q83_2,categorical,"incomplete, irrelevant, or no answer",", 1.0: 0.0126953125%%, 0.0: 0.66796875%%, 8.0: 0.0029296875%%, 9.0: 0.0029296875%%",31.34765625,"8,9",1.1090573012939002,3.0,,
Q81_2,categorical,participant gave the wrong or incomplete address,", 1.0: 0.0185546875%%, 0.0: 0.6650390625%%, 8.0: 0.001953125%%, 9.0: 0.0009765625%%",31.34765625,"8,9",0.5545286506469501,3.0,,
ENDIF_2,boolean,interviewer code - is the total csid score 2 or less?            ,", 0.0: 0.2412109375%%, 1.0: 0.458984375%%",29.98046875,,0.0,,,
NPI12,categorical,"Has your (xxxx) lost or gained weight, or had a change in the food he she likes? ",", 0.0: 0.67578125%%, 1.0: 0.02734375%%, 98.0: 0.0029296875%%",29.39453125,98,0.5545286506469501,2.0,,
NPI2,categorical,Does your (xxxx) act as if he or she hears voices? Does he or she talk to people who are not there?,", 0.0: 0.70703125%%, 1.0: 0.0029296875%%, 98.0: 0.0029296875%%",28.7109375,98,0.5545286506469501,2.0,,
NPI1,categorical,"Does your (xxxx) believe that others are stealing from him or her, or planning to harm him or her in some way?",", 0.0: 0.7060546875%%, 1.0: 0.0048828125%%, 98.0: 0.001953125%%",28.7109375,98,0.3696857670979667,2.0,,
NPI3,categorical,Is your (xxxx) stubborn and resistive to help from others?,", 0.0: 0.697265625%%, 1.0: 0.0146484375%%, 98.0: 0.0009765625%%",28.7109375,98,0.18484288354898332,2.0,,
NPI5,categorical,"Does your (xxxx) become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",", 0.0: 0.693359375%%, 1.0: 0.015625%%, 98.0: 0.00390625%%",28.7109375,98,0.7393715341959335,2.0,,
NPI7,categorical,Does your (xxxx) seem less interested in his or her usual activities and plans of others?,", 0.0: 0.6669921875%%, 1.0: 0.044921875%%, 98.0: 0.001953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI8,categorical,"Does your (xxxx) seem to act impulsively? For example, does your (xxxx) talk to strangers as if he or she knows them, or does your (xxxx) say things that may hurt people’s feeling?",", 0.0: 0.69921875%%, 98.0: 0.001953125%%, 1.0: 0.0126953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI9,categorical,Is your (xxxx) impatient and cranky? Does he or she have difficulty coping with delays or waiting for planned activities?,", 0.0: 0.6962890625%%, 98.0: 0.001953125%%, 1.0: 0.015625%%",28.61328125,98,0.3696857670979667,2.0,,
NPI11,categorical,"Does your (xxxx) awaken you during the night, rise too early in the morning, or take excessive naps during the day?",", 0.0: 0.701171875%%, 1.0: 0.0107421875%%, 98.0: 0.001953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI6,categorical,Does your (xxxx) appear to feel too good or act excessively happy?,", 0.0: 0.70703125%%, 1.0: 0.005859375%%, 98.0: 0.0009765625%%",28.61328125,98,0.18484288354898332,2.0,,
NPI10,categorical,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",", 0.0: 0.708984375%%, 98.0: 0.0029296875%%, 1.0: 0.001953125%%",28.61328125,98,0.5545286506469501,2.0,,
NPI4,categorical,Does your (xxxx) act as if he or she is sad or in low spirits? Does he or she cry?,", 0.0: 0.6728515625%%, 1.0: 0.037109375%%, 98.0: 0.00390625%%",28.61328125,98,0.7393715341959335,2.0,,
CARENEED_2,ordinal,The older person,", 2.0: 0.09765625%%, 3.0: 0.5732421875%%, 1.0: 0.04296875%%",28.61328125,,0.0,2.0,4.296875,4.296875
Q1551_2,ordinal,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?",", 0.0: 0.21484375%%, 1.0: 0.4462890625%%, 2.0: 0.0576171875%%, 8.0: 0.0068359375%%",27.44140625,8,1.2939001848428835,4.0,0.68359375,0.68359375
Q1561_2,ordinal,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?",", 1.0: 0.5419921875%%, 0.0: 0.083984375%%, 2.0: 0.064453125%%, 3.0: 0.033203125%%, 8.0: 0.001953125%%",27.44140625,8,0.3696857670979667,5.0,0.1953125,0.1953125
ICINTCOM_2,categorical,"* Interviewer's evaluation * Has the interview ended?
",", 0.0: 0.0087890625%%, 1.0: 0.7265625%%",26.46484375,,0.0,3.0,,
Q1821_2,ordinal,"Exaggeration or tendency to say yes, indiscriminately.",", 8.0: 0.001953125%%, 1.0: 0.01953125%%, 0.0: 0.7841796875%%, 2.0: 0.001953125%%",19.23828125,8,0.3696857670979667,4.0,0.390625,0.390625
Q1822_2,ordinal,"Minimization or tendency to say no, indiscriminately.",", 2.0: 0.005859375%%, 1.0: 0.0302734375%%, 0.0: 0.771484375%%",19.23828125,,0.0,4.0,3.61328125,3.61328125
Q781_2,ordinal,Elderly seems very slow in all moves,", 0.0: 0.6708984375%%, 1.0: 0.166015625%%, 2.0: 0.0263671875%%, 8.0: 0.001953125%%, 9.0: 0.0029296875%%",13.18359375,"8,9",0.9242144177449167,4.0,0.48828125,0.48828125
Q871_2,ordinal,Admits feeling lonely,", 0.0: 0.66015625%%, 1.0: 0.1728515625%%, 2.0: 0.03125%%, 8.0: 0.005859375%%",12.98828125,8,1.1090573012939002,4.0,0.5859375,0.5859375
Q1351_2,categorical,Note ** The participant is taking a doctor-prescribed medication to treat a mental problem,", 0.0: 0.8974609375%%, 1.0: 0.013671875%%, 8.0: 0.001953125%%",8.69140625,8,0.3696857670979667,3.0,,
Q1709_2,ordinal,Takes slow shuffling steps,", 0.0: 0.849609375%%, 1.0: 0.0615234375%%, 2.0: 0.0078125%%, 9.0: 0.0068359375%%",7.421875,9,1.2939001848428835,4.0,0.68359375,0.68359375
Q1708_2,ordinal,Staggers as if drunk,", 0.0: 0.90625%%, 1.0: 0.01171875%%, 2.0: 0.0009765625%%, 9.0: 0.0068359375%%",7.421875,9,1.2939001848428835,4.0,0.68359375,0.68359375
Q1707_2,ordinal,"Gait normal, just unsteady",", 0.0: 0.84375%%, 1.0: 0.0654296875%%, 2.0: 0.0087890625%%, 9.0: 0.0078125%%",7.421875,9,1.478743068391867,4.0,0.78125,0.78125
Q1361_2,categorical,"Opium alkaloids, heroin, industrial analgesics similar to morphine (eg pythidine, methadone, dehydroquidine) and cocaine.",", 0.0: 0.931640625%%, 1.0: 0.0009765625%%",6.73828125,,0.0,3.0,,
Q201_2,ordinal,episode of anxiety which participant tries to terminate e.g. by running out of room.,", 0.0: 0.91796875%%, 2.0: 0.001953125%%, 1.0: 0.029296875%%, 8.0: 0.005859375%%, 9.0: 0.0009765625%%",4.39453125,"8,9",1.2939001848428835,4.0,0.68359375,0.68359375
Q1742_2,ordinal,"Patient talks fairly freely, but vaguely and ambiguously so that ideas communicated are not clear - vague wandering from idea to idea or point to point, e.g.
Question:  
HOW DO YOU LIKE IT IN THE HOSPITAL?
Response:  
WELL, or ….NOT QUITE THE SAME AS, OR …DO NOT QUITE KNOW HOW TO SAY IT.  IT IS NOT THE SAME, BEING IN HOSPITAL AS, or....WORKING. ER….THE JOB IS NOT QUITE THE SAME or… VERY MUCH THE SAME, BUT OF COURSE, IT IS NOT EXACTLY THE SAME.",", 0.0: 0.92578125%%, 9.0: 0.0029296875%%, 1.0: 0.0244140625%%, 2.0: 0.0048828125%%",4.19921875,9,0.5545286506469501,4.0,0.78125,0.78125
Q1744_2,ordinal,"Circumstantial:  much unnecessary detail, but the object in view at the beginning is ultimately reached.",", 0.0: 0.9365234375%%, 1.0: 0.017578125%%, 9.0: 0.001953125%%, 2.0: 0.00390625%%",4.00390625,9,0.3696857670979667,4.0,0.5859375,0.5859375
Q1745_2,ordinal,Rambling:  talks in an aimless fashion.  Object in view at the beginning is not reached.,", 0.0: 0.9453125%%, 1.0: 0.009765625%%, 9.0: 0.001953125%%, 2.0: 0.0029296875%%",4.00390625,9,0.3696857670979667,4.0,0.48828125,0.48828125
Q1743_2,ordinal,"Irrelevance:  whole content of answer may have little to do with the question.  (Do not include wandering or rambling from the topic, or incoherence).",", 0.0: 0.92578125%%, 9.0: 0.0029296875%%, 2.0: 0.005859375%%, 1.0: 0.025390625%%",4.00390625,9,0.5545286506469501,4.0,0.87890625,0.87890625
Q171_2,categorical,do you have children,", 1.0: 0.7841796875%%, 0.0: 0.177734375%%",3.80859375,,0.0,3.0,,
Q1031_2,ordinal,It seems from looking at/ listening to the participant that he/she is overly skeptical,", 0.0: 0.931640625%%, 1.0: 0.0283203125%%, 2.0: 0.001953125%%",3.80859375,,0.0,4.0,3.02734375,3.02734375
Q331_2,ordinal,"seems very nervous, worried, depressed or scared",", 2.0: 0.0869140625%%, 9.0: 0.005859375%%, 0.0: 0.716796875%%, 1.0: 0.15234375%%, 8.0: 0.001953125%%",3.61328125,"8,9",1.478743068391867,6.0,0.78125,0.78125
Q75_2,ordinal,evaluate: error in the year provided,", 0.0: 0.7578125%%, 1.0: 0.1435546875%%, 2.0: 0.041015625%%, 9.0: 0.005859375%%, 8.0: 0.015625%%",3.61328125,"8,9",4.066543438077634,4.0,2.1484375,2.1484375
Q1441_2,categorical,The interviewer believes that the participant has a drinking problem.,", 0.0: 0.9306640625%%, 9.0: 0.025390625%%, 1.0: 0.0078125%%",3.61328125,9,4.805914972273566,3.0,,
IRDISCR_2,boolean,"Interviewer rating: was there any discrepancy between stated birth date and stated age?
",", 0.0: 0.80859375%%, 1.0: 0.1484375%%, 9.0: 0.0048828125%%, 8.0: 0.001953125%%",3.61328125,,0.0,,,
Q42_2,categorical,"age is incomplete, irrelevant or no reply",", 0.0: 0.8916015625%%, 1.0: 0.0654296875%%, 9.0: 0.0068359375%%",3.61328125,9,1.2939001848428835,3.0,,
Q1242_2,ordinal,Hallucinations related to taste,", 0.0: 0.9580078125%%, 9.0: 0.001953125%%, 1.0: 0.00390625%%, 8.0: 0.0009765625%%",3.515625,"8,9",0.5545286506469501,4.0,0.29296875,0.29296875
Q32_2,categorical,"year of birth is incomplete, irrelevant or no reply",", 1.0: 0.06640625%%, 0.0: 0.890625%%, 9.0: 0.0068359375%%, 8.0: 0.0009765625%%",3.515625,"8,9",1.478743068391867,3.0,,
Q73_2,categorical,evaluate: the participants says/points out that he doesn't know the month,", 0.0: 0.8525390625%%, 1.0: 0.099609375%%, 9.0: 0.00390625%%, 8.0: 0.0087890625%%",3.515625,"8,9",2.4029574861367835,3.0,,
Q1041_2,ordinal,"There is a clear sense of excessive guilt or self-blame over past and present mistakes (do not affirm positively any self-blame that is justified or simple.)
  ",", 0.0: 0.9228515625%%, 1.0: 0.0341796875%%, 9.0: 0.0009765625%%, 8.0: 0.00390625%%, 2.0: 0.0029296875%%",3.515625,"8,9",0.9242144177449167,4.0,0.78125,0.78125
IRERROR_2,categorical,"Interviewer's evaluation: In the Direction or Memory section, did you record ""Yes"" (an indication of memory errors) or ""Not applicable"" frequently during the interview? Or was there a lot of ""not applicable"" in the rest of the interview? """,", 0.0: 0.5400390625%%, 9.0: 0.0009765625%%, 1.0: 0.423828125%%",3.515625,9,0.18484288354898332,3.0,,
Q1365_2,categorical,"Barbituric acid analgesic (Allobarbital, Amobarbital, Aprobarbital)",", 0.0: 0.94921875%%, 1.0: 0.015625%%",3.515625,,0.0,3.0,,
Q1191_2,ordinal, Note ** has a clear difficulty in focusing on the interview.,", 0.0: 0.8896484375%%, 1.0: 0.056640625%%, 2.0: 0.0166015625%%, 9.0: 0.0009765625%%, 8.0: 0.0009765625%%",3.515625,"8,9",0.3696857670979667,4.0,1.85546875,1.85546875
Q1061_2,ordinal,Participant is angry with him/herself,", 0.0: 0.8466796875%%, 1.0: 0.10546875%%, 8.0: 0.0029296875%%, 2.0: 0.009765625%%",3.515625,8,0.5545286506469501,4.0,1.26953125,1.26953125
Q71_2,ordinal,evaluate: there is an error in the date of the week provided,", 0.0: 0.767578125%%, 1.0: 0.123046875%%, 9.0: 0.00390625%%, 8.0: 0.01953125%%, 2.0: 0.05078125%%",3.515625,"8,9",4.436229205175602,4.0,2.34375,2.34375
Q531_2,categorical,Elderly has lost 10 pounds (4.5 kilograms) or more in the past three months,", 0.0: 0.91015625%%, 1.0: 0.0498046875%%, 9.0: 0.001953125%%, 8.0: 0.0029296875%%",3.515625,"8,9",0.9242144177449167,3.0,,
Q512_2,ordinal,increased appetite,", 1.0: 0.029296875%%, 2.0: 0.0009765625%%, 0.0: 0.931640625%%, 8.0: 0.0029296875%%",3.515625,8,0.5545286506469501,4.0,0.390625,0.390625
Q72_2,ordinal,evaluate: there is an error in the month provided ,", 0.0: 0.80078125%%, 1.0: 0.1083984375%%, 2.0: 0.03125%%, 8.0: 0.021484375%%, 9.0: 0.0029296875%%",3.515625,"8,9",4.621072088724584,4.0,2.44140625,2.44140625
Q532_2,categorical,Elderly has lost 10 pounds (4.5 kilograms) or more during the past month,", 0.0: 0.9462890625%%, 9.0: 0.001953125%%, 1.0: 0.013671875%%, 8.0: 0.0029296875%%",3.515625,"8,9",0.9242144177449167,3.0,,
Q1371_2,categorical,Drink alcohol (in one form or another) at least five days a week,", 0.0: 0.9521484375%%, 9.0: 0.0009765625%%, 1.0: 0.0126953125%%",3.41796875,9,0.18484288354898332,3.0,,
Q371_2,categorical,does not remember well the interviewer's name (little mistakes are tolerable) ,", 0.0: 0.8017578125%%, 1.0: 0.1611328125%%, 9.0: 0.0029296875%%",3.41796875,9,0.5545286506469501,3.0,,
Q1364_2,categorical,Other psychosocial stimulants (eg amphetamines / pep pills),", 0.0: 0.9658203125%%",3.41796875,,0.0,3.0,,
Q1363_2,categorical,"Medicinal cannabis (cannabis, marijuana)",", 0.0: 0.9658203125%%",3.41796875,,0.0,3.0,,
Q381_2,categorical,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) ,", 1.0: 0.271484375%%, 0.0: 0.689453125%%, 8.0: 0.0029296875%%, 9.0: 0.001953125%%",3.41796875,"8,9",0.9242144177449167,3.0,,
Q533_2,categorical,Elderly gained 10 pounds (4.5 kilograms) or more during the past month,", 0.0: 0.9462890625%%, 9.0: 0.001953125%%, 1.0: 0.015625%%, 8.0: 0.001953125%%",3.41796875,"8,9",0.7393715341959335,3.0,,
Q491_2,ordinal,difficulty to relax,", 0.0: 0.828125%%, 1.0: 0.1240234375%%, 2.0: 0.005859375%%, 8.0: 0.0068359375%%, 9.0: 0.0009765625%%",3.41796875,"8,9",1.478743068391867,4.0,0.78125,0.78125
Q722_2,ordinal,It exists most days for at least two weeks,", 0.0: 0.791015625%%, 8.0: 0.005859375%%, 1.0: 0.1455078125%%, 2.0: 0.0234375%%",3.41796875,8,1.1090573012939002,4.0,0.5859375,0.5859375
Q1042_2,ordinal,The participant mentions to regret something from the past which may or may not be justified.,", 0.0: 0.9228515625%%, 2.0: 0.00390625%%, 1.0: 0.0380859375%%, 8.0: 0.0009765625%%",3.41796875,8,0.18484288354898332,4.0,0.48828125,0.48828125
Q301_2,categorical,already contemplated the idea of suicide or wished for death,", 0.0: 0.927734375%%, 8.0: 0.0029296875%%, 1.0: 0.03515625%%",3.41796875,8,0.5545286506469501,3.0,,
Q911_2,ordinal,Has this feeling,", 0.0: 0.947265625%%, 1.0: 0.0126953125%%, 2.0: 0.001953125%%, 8.0: 0.0029296875%%, 9.0: 0.0009765625%%",3.41796875,"8,9",0.7393715341959335,4.0,0.5859375,0.5859375
Q1182_2,ordinal,"Difficulty with some forms of concentration most days, at least for two weeks.",", 0.0: 0.8515625%%, 1.0: 0.0693359375%%, 9.0: 0.0126953125%%, 8.0: 0.0107421875%%, 2.0: 0.021484375%%",3.41796875,"8,9",4.436229205175602,4.0,2.34375,2.34375
Q1381_2,categorical,He/she does this,", 0.0: 0.939453125%%, 9.0: 0.0234375%%, 1.0: 0.0029296875%%",3.41796875,9,4.436229205175602,3.0,,
Q1391_2,ordinal,The participant admits that it is a problem,", 0.0: 0.931640625%%, 1.0: 0.0029296875%%, 9.0: 0.03125%%",3.41796875,9,5.914972273567468,4.0,3.125,3.125
Q1043_2,ordinal,Feeling excessive guilt or lack of self-value most days for at least two weeks.,", 0.0: 0.9443359375%%, 1.0: 0.01171875%%, 8.0: 0.0068359375%%, 2.0: 0.0029296875%%",3.41796875,8,1.2939001848428835,4.0,0.68359375,0.68359375
Q1251_2,ordinal,Indicates that he/she hears voices in the absence of any external influence that can be defined,", 0.0: 0.9599609375%%, 1.0: 0.00390625%%, 2.0: 0.0009765625%%, 8.0: 0.0009765625%%",3.41796875,8,0.18484288354898332,4.0,0.5859375,0.5859375
Q1044_2,ordinal,The imaginary feeling of lack of self-value and guilt most days.,", 0.0: 0.951171875%%, 8.0: 0.0068359375%%, 1.0: 0.0078125%%",3.41796875,8,1.2939001848428835,4.0,0.68359375,0.68359375
Q642_2,ordinal,"A feeling of confused thinking or hesitation is present for most days, for at least two weeks.",", 0.0: 0.9013671875%%, 2.0: 0.0068359375%%, 1.0: 0.044921875%%, 8.0: 0.01171875%%, 9.0: 0.0009765625%%",3.41796875,"8,9",2.4029574861367835,4.0,1.26953125,1.26953125
Q1362_2,categorical,"Heliosis (eg LSD, Mescaline)",", 0.0: 0.9658203125%%",3.41796875,,0.0,3.0,,
Q74_2,categorical,"evaluate: at least some answers are incomplete, irrelevant or no answer",", 0.0: 0.8505859375%%, 1.0: 0.103515625%%, 8.0: 0.009765625%%, 9.0: 0.001953125%%",3.41796875,"8,9",2.2181146025878005,3.0,,
Q1181_2,ordinal,He/she has difficulty focusing on reading.,", 0.0: 0.7001953125%%, 9.0: 0.1630859375%%, 1.0: 0.0732421875%%, 8.0: 0.009765625%%, 2.0: 0.01953125%%",3.41796875,"8,9",32.71719038817005,4.0,0.0,0.0
Q1368_2,categorical,Other,", 0.0: 0.939453125%%, 1.0: 0.0263671875%%",3.41796875,,0.0,3.0,,
Q1271_2,ordinal,Says that he/she is testing visual perception in the absence of any identifiable external stimulus.,", 0.0: 0.95703125%%, 9.0: 0.0009765625%%, 1.0: 0.005859375%%, 2.0: 0.0009765625%%, 8.0: 0.0009765625%%",3.41796875,"8,9",0.3696857670979667,4.0,0.29296875,0.29296875
Q1367_2,categorical,"Nerves tranquilizers (Valium, Liberium, etc.)",", 0.0: 0.904296875%%, 1.0: 0.0615234375%%",3.41796875,,0.0,3.0,,
Q1201_2,ordinal,Describes an abnormal sensory experience,", 0.0: 0.9521484375%%, 8.0: 0.0029296875%%, 1.0: 0.0087890625%%, 2.0: 0.0009765625%%, 9.0: 0.0009765625%%",3.41796875,"8,9",0.7393715341959335,4.0,0.48828125,0.48828125
Q281_2,categorical,felt life not worth living,", 0.0: 0.814453125%%, 8.0: 0.0107421875%%, 2.0: 0.013671875%%, 1.0: 0.126953125%%",3.41796875,8,2.033271719038817,4.0,,
Q541_2,categorical,Problem sleeping or change in the sleeping pattern,", 0.0: 0.7822265625%%, 1.0: 0.181640625%%, 8.0: 0.001953125%%",3.41796875,8,0.3696857670979667,3.0,,
