Features,Rank_uni,Rank_FI
Q1707_2,1,0.0
Q722_2,1,0.0
IRERROR_2_1.0,1,0.0
Q1705_2,1,0.005761196033782044
Q72_2,1,0.006544278427906925
LEARN1_2,1,0.006732923857077693
CHANGE_2,1,0.007680168963717202
Q294_2_1.0,1,0.009216202756460642
WORDFIND_2,1,0.010061640710934351
LOSTOUT_2,1,0.011281206556371772
WORDDEL_2_3.0,1,0.012411461022067293
LEARN3_2,1,0.013933046974133136
Q1182_2,1,0.018138016391403926
KEPT_2,1,0.022316376674572553
Q75_2,1,0.03386192717720145
LEARN2_2,1,0.03540257220104494
PUT_2,1,0.03636838935829725
RECALL_2,1,0.03639116035571171
Q401_2,1,0.0855076946195062
LASTDAY_2,1,0.3408673042070893
Q331_2,2,0.014216376325277072
NRECALL_2_1.0,3,0.0072712249020127784
Q71_2,4,0.005778527646004077
CHORES_2,5,0.008015489858585608
ACTIV_2,6,0.007686818460655486
Q781_2,7,0.006637860318641295
Q101_2_1.0,8,0.020393802509809062
LASTSEE_2,9,0.0120202355563272
Q1561_2,10,0.0
ANIMALS_2_6.0,11,0.00595930903520962
PENTAG_2_1.0,12,0.0025600563212390664
Q871_2,13,0.005505907176469514
NOD_2_1.0,14,0.005866906052750449
Q1251_2,15,0.0
Q651_2,16,0.008028336623405718
ANIMALS_2_5.0,17,0.005671509388591164
Q1051_2,18,0.0051043584497320466
WATCH_2_1.0,19,0.0053872489542596
Q1041_2,20,0.0
CHAIR_2_1.0,21,0.0
ANIMALS_2_10.0,22,0.0
Q1141_2,23,0.0
Q351_2_8.0,24,0.0
Q76_2_8.0,25,0.0017873996192772062
ORIENT_2,26,0.00180495182503114
ANIMALS_2_15.0,27,0.001768766185583356
Q42_2_1.0,28,0.006275280651702997
Q221_2,29,0.005354868795255787
Q1631_2,30,0.0021315985277381285
Q1709_2,31,0.0017038335903678608
Q1191_2,32,0.0011130386430643058
Q11_2_1.0,33,0.0
ANIMALS_2_7.0,34,0.000964370730719192
MENTAL_2,35,0.0010937485452642275
CHIEF_2_1.0,36,0.0
CARENEED_2,37,0.0
WORDDEL_2_2.0,38,0.010035420779257143
Q1708_2,39,0.005444649013047518
Q1551_2,40,0.00911380050361108
Q1821_2,41,0.0
Q931_2_9.0,42,0.0
Q1242_2,43,0.0
WORDDEL_2_1.0,44,0.0
HASCONF_2,45,0.0
Q1744_2,46,0.0
Q201_2,47,0.0
Q21_2_1.0,48,0.0
MONTH_2_1.0,49,0.0
Q491_2,50,0.0
YEAR_2_1.0,51,0.0
Q1743_2,52,0.0
Q361_2_1.0,53,0.0
Q1795_2_9.0,54,0.0
Q1044_2,55,0.0
Q361_2_8.0,56,0.0
Q1822_2,57,0.0
SEASON_2_1.0,58,0.0
Q293_2_8.0,59,0.0
Q1745_2,60,0.0
Q17920_2_1.0,61,0.0
Q1742_2,62,0.013966158001744685
ADDRESS_2_1.0,63,0.0
Q18014_2_1.0,64,0.0
IRHOME_2_1.0,65,0.0
Q361_2_9.0,66,0.0
Q17922_2_1.0,67,0.0
Q1031_2,68,0.0
Q1061_2,69,0.0
REPEAT_2_1.0,70,0.0
Q17912_2_1.0,71,0.0
Q1808_2_9.0,72,0.0
Q293_2_9.0,73,0.0
Q11_2_9.0,74,0.0
Q931_2_1.0,75,0.0
Q18018_2_9.0,76,0.0
ANIMALS_2_2.0,77,0.004427391520260505
Q391_2_1.0,78,0.0
Q21_2_8.0,79,0.0
Q1042_2,80,0.0
Q1391_2,81,0.0
Q1792_2_1.0,82,0.0
IRHOME_2_9.0,83,0.0
Q931_2_8.0,84,0.0
Q1271_2,85,0.0
Q1043_2,86,0.0
Q911_2,87,0.0
Q391_2_8.0,88,0.0
Q1796_2_1.0,89,0.0
Q41_2_1.0,90,0.0
WORDIMM_2_3.0,91,0.004608101378230321
Q294_2_9.0,92,0.0
Q21_2_9.0,93,0.0
Q512_2,94,0.0
Q642_2,95,0.0073729622051685135
Q1201_2,96,0.0
Q1181_2,97,0.0
Q1171_2,98,0.0
Q901_2,99,0.001934264776047295
Q18020_2_1.0,100,0.0
Q17922_2_9.0,101,0.0
Q391_2_9.0,102,0.0
Q1231_2,103,0.005278237749998346
Q1131_2,104,0.0
Q711_2,105,0.0
Q17922_2_8.0,106,0.0
Q18020_2_9.0,107,0.0
Q502_2,108,0.0
Q643_2,109,0.0
Q41_2_9.0,110,0.0
STORY_2,111,0.009216202756460639
Q1796_2_9.0,112,0.0
Q17911_2_1.0,113,0.0
Q652_2,114,0.0
Q641_2,115,0.0
Q1803_2_1.0,116,0.0
Q1802_2_9.0,117,0.0
Q1221_2,118,0.0
Q1803_2_9.0,119,0.0
STORE_2_1.0,120,0.0
TOWN_2_1.0,121,0.0
Q294_2_8.0,122,0.0
Q18014_2_9.0,123,0.0
Q17910_2_1.0,124,0.0
Q1801_2_8.0,125,0.0
Q481_2,126,0.0
Q1241_2,127,0.0
Q17911_2_9.0,128,0.0
Q612_2,129,0.0
Q18019_2_9.0,130,0.0
Q1791_2_9.0,131,0.0
Q721_2,132,0.009349716970567384
Q621_2,133,0.0
Q613_2,134,0.0
Q1802_2_1.0,135,0.0
Q451_2,136,0.0
Q18019_2_1.0,137,0.0
Q1222_2,138,0.0
Q17920_2_9.0,139,0.0
Q1801_2_9.0,140,0.0
Q18016_2_1.0,141,0.0
Q191_2,142,0.0
Q1233_2,143,0.0
Q1791_2_8.0,144,0.0
Q631_2,145,0.0
Q18015_2_1.0,146,0.0
Q511_2,147,0.0
Q611_2,148,0.0
Q17912_2_9.0,149,0.0
Q18018_2_1.0,150,0.0
Q731_2,151,0.00546145348531001
Q1791_2_1.0,152,0.0
Q17910_2_9.0,153,0.0
Q1052_2,154,0.0
Q1211_2,155,0.0
Q18012_2_9.0,156,0.0
Q1806_2_1.0,157,0.0
Q18015_2_9.0,158,0.0
Q1804_2_1.0,159,0.0
Q1232_2,160,0.0
Q171_2_1.0,161,0.0030720675854868807
Q1801_2_1.0,162,0.0
Q1807_2_9.0,163,0.0
Q501_2,164,0.0
Q1804_2_9.0,165,0.0
Q18017_2_9.0,166,0.0
Q18012_2_1.0,167,0.0
Q1805_2_9.0,168,0.0
Q18016_2_9.0,169,0.0
Q1752_2,170,0.0
Q1751_2,171,0.0
Q1771_2,172,0.0
Q1781_2,173,0.0
Q1671_2,174,0.0
Q1795_2_1.0,175,0.0
Q1703_2,176,0.0
Q1806_2_9.0,177,0.0
ANIMALS_2_8.0,178,0.0
Q211_2,179,0.0
Q1811_2,180,0.0
Q18010_2_1.0,181,0.0
Q18017_2_1.0,182,0.0
Q1741_2,183,0.0
Q1792_2_9.0,184,0.0
Q1641_2,185,0.0
ANIMALS_2_16.0,186,0.0
Q644_2,187,0.005120112642478133
Q1798_2_9.0,188,0.0
Q1809_2_9.0,189,0.0
Q1755_2,190,0.0
Q1798_2_1.0,191,0.004575017573463539
ANIMALS_2_9.0,192,0.0058983697641348115
Q1701_2,193,0.0
Q1661_2,194,0.0
Q1635_2,195,0.0
Q18010_2_9.0,196,0.0
Q18013_2_9.0,197,0.0
WORDIMM_2_1.0,198,0.0
LONGMEM_2_1.0,199,0.008243381354389798
Q1651_2,200,0.0
Q1753_2,201,0.0
Q1634_2,202,0.0
Q1809_2_1.0,203,0.0
Q1642_2,204,0.0
Q32_2_8.0,205,0.0
ANIMALS_2_3.0,206,0.0
Q73_2_1.0,207,0.0
Q18013_2_1.0,208,0.0
SHOES_2_1.0,209,0.0
Q1754_2,210,0.0
CIRCLE_2_1.0,211,0.0
HAMMER_2_1.0,212,0.0
Q1704_2,213,0.0
ANIMALS_2_13.0,214,0.0
DRESS_2,215,0.0
ANIMALS_2_28.0,216,0.0
ANIMALS_2_1.0,217,0.0
LOSTIN_2,218,0.0
MONEY_2,219,0.0
Q1702_2,220,0.0
Q73_2_8.0,221,0.0
ANIMALS_2_12.0,222,0.0
Q73_2_9.0,223,0.0
ELBOW_2_1.0,224,0.0
Chin_2_1.0,225,0.0
PENCIL_2_1.0,226,0.0
Q1633_2,227,0.0
ANIMALS_2_34.0,228,0.0
ANIMALS_2_32.0,229,0.0
Q1652_2,230,0.0
ANIMALS_2_22.0,231,0.0
Q1361_2_1.0,232,0.0
IRERROR_2_9.0,233,0.0
ANIMALS_2_4.0,234,0.0
Q1365_2_1.0,235,0.0
ANIMALS_2_24.0,236,0.0
ANIMALS_2_19.0,237,0.0
ANIMALS_2_30.0,238,0.0
NPI8_1.0,239,0.0
ANIMALS_2_18.0,240,0.0
ANIMALS_2_17.0,241,0.0
Q1706_2,242,0.0
ANIMALS_2_21.0,243,0.0
ANIMALS_2_14.0,244,0.0
CONVERS_2,245,0.0
Q1632_2,246,0.0
Q1441_2_1.0,247,0.0
WORDWRG_2,248,0.0
ANIMALS_2_40.0,249,0.0
Q82_2_1.0,250,0.0
STREET_2_1.0,251,0.0
Q1808_2_1.0,252,0.0
ANIMALS_2_20.0,253,0.0
PAST_2,254,0.0
ANIMALS_2_26.0,255,0.0
TOILET_2,256,0.0
ANIMALS_2_11.0,257,0.0
ANIMALS_2_27.0,258,0.0
ANIMALS_2_23.0,259,0.0
Q293_2_1.0,260,0.0
Q81_2_1.0,261,0.0
Q291_2_9.0,262,0.0
Q291_2_1.0,263,0.0
Q291_2_8.0,264,0.0
NPI4_98.0,265,0.0
FRDNAME_2,266,0.0
Q82_2_8.0,267,0.0
Q111_2_9.0,268,0.0
Q83_2_1.0,269,0.0
Q111_2_1.0,270,0.0
Q82_2_9.0,271,0.0
Q81_2_9.0,272,0.0
Q83_2_8.0,273,0.0
Q351_2_2.0,274,0.0
Q83_2_9.0,275,0.0
Q351_2_1.0,276,0.0
Q81_2_8.0,277,0.0
Q341_2_8.0,278,0.0
NPI2_98.0,279,0.0
Q341_2_2.0,280,0.0
Q341_2_1.0,281,0.0
NPI12_98.0,282,0.0
NPI7_98.0,283,0.0
Q352_2_9.0,284,0.0
FEED_2,285,0.0
NPI2_1.0,286,0.0
Q18011_2_9.0,287,0.0
Q352_2_8.0,288,0.0027292131838524613
NPI1_1.0,289,0.0
SHOULD_2_1.0,290,0.0
NPI3_1.0,291,0.0
Q352_2_2.0,292,0.0
NPI1_98.0,293,0.0
Q352_2_1.0,294,0.0
NPI5_98.0,295,0.0
Q292_2_9.0,296,0.0
FAMNAME_2,297,0.0
Q292_2_8.0,298,0.0
NPI3_98.0,299,0.0
Q292_2_1.0,300,0.004096090113982508
NPI5_1.0,301,0.0
Q31_2_9.0,302,0.0
Q452_2_1.0,303,0.005864856299565851
Q31_2_8.0,304,0.0
NPI7_1.0,305,0.0
Q31_2_1.0,306,0.0
NPI6_1.0,307,0.0
Q452_2_8.0,308,0.0
NPI4_1.0,309,0.0
NPI9_1.0,310,0.0
NPI8_98.0,311,0.0
ANIMALS_2_35.0,312,0.0
NPI12_1.0,313,0.0
Q102_2_9.0,314,0.0
NPI10_1.0,315,0.0
Q102_2_1.0,316,0.0
NPI9_98.0,317,0.0
Q76_2_9.0,318,0.0
NPI11_98.0,319,0.0
NPI11_1.0,320,0.0
Q1351_2_1.0,321,0.0
Q76_2_1.0,322,0.0
NPI6_98.0,323,0.0
Q101_2_9.0,324,0.0
Q32_2_9.0,325,0.0
Q1441_2_9.0,326,0.0
WORDIMM_2_2.0,327,0.0
Q101_2_8.0,328,0.0
Q42_2_9.0,329,0.0
Q1351_2_8.0,330,0.0
Q531_2_1.0,331,0.0
POINT_2_1.0,332,0.0
Q531_2_8.0,333,0.0
CHEMIST_2_1.0,334,0.0
Q531_2_9.0,335,0.0
PRAY_2_1.0,336,0.0
Q532_2_1.0,337,0.0
NAME_2_1.0,338,0.0
Q532_2_8.0,339,0.0
REASON_2_1.0,340,0.0
Q532_2_9.0,341,0.0
REASON_2_98.0,342,0.0
Q1371_2_1.0,343,0.0
REASON_2_99.0,344,0.0
Q1371_2_9.0,345,0.0
MUDDLED_2_1.0,346,0.0
Q371_2_1.0,347,0.0
MUDDLED_2_98.0,348,0.0
Q371_2_9.0,349,0.0
MUDDLED_2_99.0,350,0.0
MEMORY_2_1.0,351,0.008192180227965015
NPI10_98.0,352,0.0
MEMORY_2_98.0,353,0.005454179008331626
Q32_2_1.0,354,0.004096090113982508
Q381_2_1.0,355,0.0
HOBBY_2_1.0,356,0.0
Q381_2_8.0,357,0.0
Q541_2_8.0,358,0.0
Q381_2_9.0,359,0.0
Q541_2_1.0,360,0.003276872091186006
Q281_2_8.0,361,0.0
ICINTCOM_2_1.0,362,0.0
Q533_2_1.0,363,0.0
Q281_2_2.0,364,0.0
Q533_2_8.0,365,0.0
Q281_2_1.0,366,0.0
Q533_2_9.0,367,0.0
Q1367_2_1.0,368,0.0
Q301_2_1.0,369,0.0
Q1368_2_1.0,370,0.0
Q301_2_8.0,371,0.0
Q74_2_9.0,372,0.0
Q1381_2_1.0,373,0.0
Q1381_2_9.0,374,0.004861293761649569
HOBBY_2_98.0,375,0.0
Q74_2_8.0,376,0.0
Q74_2_1.0,377,0.00266245857408863
PAPER_2,378,0.0
TRIALNO_2,379,0.0030720675854868807
HOBBY_2_99.0,380,0.0
