model,miter,mbs,mlr,ulr,dh,afn,num_vertex,num_filters,emb_loss_weight
model_122,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.1
model_130,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.1
model_92,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.1
model_135,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.01
model_138,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.1
model_131,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.01
model_97,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.01
model_127,1000,32,0.1,0.1,"128, 64",tanh,10,32,0.01
model_104,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.1
model_123,1000,32,0.1,0.1,"128, 64",tanh,8,32,0.01
model_137,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.01
model_32,1000,32,0.1,0.1,"128, 64",relu,10,32,0.1
model_101,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.01
model_33,1000,32,0.1,0.1,"128, 64",relu,2,16,0.01
model_103,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.01
model_91,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.01
model_45,1000,32,0.1,0.1,"128, 64",relu,10,16,0.01
model_115,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.01
model_93,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.01
model_128,1000,32,0.1,0.1,"128, 64",tanh,10,32,0.1
model_136,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.1
model_98,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.1
model_134,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.1
model_70,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.1
model_132,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.1
model_124,1000,32,0.1,0.1,"128, 64",tanh,8,32,0.1
model_100,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.1
model_25,1000,32,0.1,0.1,"128, 64",relu,8,16,0.01
model_113,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.01
model_121,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.01
model_102,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.1
model_111,1000,32,0.1,0.1,"128, 64",tanh,10,32,0.01
model_106,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.1
model_43,1000,32,0.1,0.1,"128, 64",relu,8,32,0.01
model_133,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.01
model_105,1000,32,0.1,0.1,"128, 64",tanh,8,16,0.01
model_107,1000,32,0.1,0.1,"128, 64",tanh,8,32,0.01
model_31,1000,32,0.1,0.1,"128, 64",relu,10,32,0.01
model_117,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.01
model_129,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.01
model_94,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.1
model_108,1000,32,0.1,0.1,"128, 64",tanh,8,32,0.1
model_99,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.01
model_76,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.1
model_90,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.1
model_77,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.01
model_26,1000,32,0.1,0.1,"128, 64",relu,8,16,0.1
model_71,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.01
model_109,1000,32,0.1,0.1,"128, 64",tanh,10,16,0.01
model_119,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.01
model_17,1000,32,0.1,0.1,"128, 64",relu,2,16,0.01
model_16,1000,32,0.1,0.1,"128, 64",relu,10,32,0.1
model_120,1000,32,0.1,0.1,"128, 64",tanh,4,32,0.1
model_118,1000,32,0.1,0.1,"128, 64",tanh,4,16,0.1
model_47,1000,32,0.1,0.1,"128, 64",relu,10,32,0.01
model_59,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.01
model_78,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.1
model_46,1000,32,0.1,0.1,"128, 64",relu,10,16,0.1
model_125,1000,32,0.1,0.1,"128, 64",tanh,10,16,0.01
model_48,1000,32,0.1,0.1,"128, 64",relu,10,32,0.1
model_114,1000,32,0.1,0.1,"128, 64",tanh,2,16,0.1
model_58,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.1
model_29,1000,32,0.1,0.1,"128, 64",relu,10,16,0.01
model_110,1000,32,0.1,0.1,"128, 64",tanh,10,16,0.1
model_88,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.1
model_72,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.1
model_64,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.1
model_116,1000,32,0.1,0.1,"128, 64",tanh,2,32,0.1
model_62,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.1
model_65,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.01
model_139,1000,32,0.1,0.1,"128, 64",tanh,8,32,0.01
model_126,1000,32,0.1,0.1,"128, 64",tanh,10,16,0.1
model_11,1000,32,0.1,0.1,"128, 64",relu,8,32,0.01
model_27,1000,32,0.1,0.1,"128, 64",relu,8,32,0.01
model_10,1000,32,0.1,0.1,"128, 64",relu,8,16,0.1
model_18,1000,32,0.1,0.1,"128, 64",relu,2,16,0.1
model_61,1000,32,0.1,0.1,"128, 64",sigmoid,10,16,0.01
model_63,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.01
model_89,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.01
model_95,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.01
model_66,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.1
model_23,1000,32,0.1,0.1,"128, 64",relu,4,32,0.01
model_28,1000,32,0.1,0.1,"128, 64",relu,8,32,0.1
model_112,1000,32,0.1,0.1,"128, 64",tanh,10,32,0.1
model_60,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.1
model_2,1000,32,0.1,0.1,"128, 64",relu,2,16,0.1
model_20,1000,32,0.1,0.1,"128, 64",relu,2,32,0.1
model_74,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.1
model_3,1000,32,0.1,0.1,"128, 64",relu,2,32,0.01
model_42,1000,32,0.1,0.1,"128, 64",relu,8,16,0.1
model_38,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_1,1000,32,0.1,0.1,"128, 64",relu,2,16,0.01
model_30,1000,32,0.1,0.1,"128, 64",relu,10,16,0.1
model_41,1000,32,0.1,0.1,"128, 64",relu,8,16,0.01
model_40,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_12,1000,32,0.1,0.1,"128, 64",relu,8,32,0.1
model_24,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_15,1000,32,0.1,0.1,"128, 64",relu,10,32,0.01
model_57,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.01
model_22,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_8,1000,32,0.1,0.1,"128, 64",relu,4,32,0.1
model_69,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_44,1000,32,0.1,0.1,"128, 64",relu,8,32,0.1
model_68,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_55,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.01
model_19,1000,32,0.1,0.1,"128, 64",relu,2,32,0.01
model_73,1000,32,0.1,0.1,"128, 64",sigmoid,8,16,0.01
model_14,1000,32,0.1,0.1,"128, 64",relu,10,16,0.1
model_56,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.1
model_86,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.1
model_52,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_54,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.1
model_75,1000,32,0.1,0.1,"128, 64",sigmoid,8,32,0.01
model_87,1000,32,0.1,0.1,"128, 64",sigmoid,4,32,0.01
model_37,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_53,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_21,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_9,1000,32,0.1,0.1,"128, 64",relu,8,16,0.01
model_13,1000,32,0.1,0.1,"128, 64",relu,10,16,0.01
model_82,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.1
model_67,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_7,1000,32,0.1,0.1,"128, 64",relu,4,32,0.01
model_84,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.1
model_85,1000,32,0.1,0.1,"128, 64",sigmoid,4,16,0.01
model_39,1000,32,0.1,0.1,"128, 64",relu,4,32,0.01
model_83,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_49,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.01
model_6,1000,32,0.1,0.1,"128, 64",relu,4,16,0.1
model_79,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.01
model_80,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.1
model_51,1000,32,0.1,0.1,"128, 64",sigmoid,2,32,0.01
model_96,1000,32,0.1,0.1,"128, 64",sigmoid,10,32,0.1
model_4,1000,32,0.1,0.1,"128, 64",relu,2,32,0.1
model_50,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.1
model_81,1000,32,0.1,0.1,"128, 64",sigmoid,2,16,0.01
model_5,1000,32,0.1,0.1,"128, 64",relu,4,16,0.01
model_36,1000,32,0.1,0.1,"128, 64",relu,2,32,0.1
model_35,1000,32,0.1,0.1,"128, 64",relu,2,32,0.01
model_34,1000,32,0.1,0.1,"128, 64",relu,2,16,0.1
